,(m) TempProfile_K_2.5,(m) TempProfile_K_13.5,(m) TempProfile_K_17.5,(m) TempProfile_K_21.5,(m) TempProfile_K_25.5,(m) TempProfile_K_31.5
2002-06-15 04:00:00,19.849624582649653,19.128752880692446,18.87959470630244,18.797581266311,18.737447901227483,18.65744932921598
2002-06-15 04:10:00,19.796825831393846,19.083718091782202,18.842209462940787,18.764345775402376,18.70720865786444,18.631204917445416
2002-06-15 04:20:00,19.766892668228934,19.045540100375035,18.803645037575166,18.72609812377425,18.669075341670805,18.59286494833316
2002-06-15 04:30:00,19.777841220572952,19.031278285282724,18.780317898053113,18.699241516105985,18.640038657016703,18.561525821995133
2002-06-15 04:40:00,19.797514161344566,19.02379805518757,18.76222143004111,18.67656411392892,18.61416135446825,18.531592171079637
2002-06-15 04:50:00,19.814833790066416,19.01800561694057,18.74428442517717,18.652883872312486,18.58642314217724,18.49868086222864
2002-06-15 05:00:00,19.884823555399237,19.09357373468248,18.789512377238623,18.677745667751196,18.59841914925272,18.496378129410914
2002-06-15 05:10:00,19.98697251687895,19.17312580244993,18.855826958827606,18.737699276412968,18.65461461596101,18.549179622881468
2002-06-15 05:20:00,19.257352286509615,18.826674986187754,18.684679264035196,18.62265596899516,18.576652338217173,18.51576786027124
2002-06-15 05:30:00,19.1203343287533,18.789139482735152,18.65881310867684,18.60540088128397,18.569043090480704,18.524705788164965
2002-06-15 05:40:00,19.335929523533082,18.941355185619386,18.776202789376725,18.705883484247465,18.65778744403417,18.59912238655636
2002-06-15 05:50:00,19.3239870925579,18.964326018381144,18.815234672472116,18.749442445670525,18.70331328307867,18.64561984862513
2002-06-15 06:00:00,19.4340152545264,19.07191597207776,18.910817535592855,18.83645378674362,18.785210693036447,18.722215831037147
2002-06-15 06:10:00,19.619635547944995,19.245031530640972,19.073569628922428,18.992868557398026,18.937513148766868,18.86982397020438
2002-06-15 06:20:00,19.809174643805193,19.42087255798816,19.238637079762043,19.151373790212688,19.091564170854838,19.018429014095886
2002-06-15 06:30:00,19.99796578738693,19.59486431580376,19.401272960799815,19.307287491279112,19.243023294188447,19.164580723030042
2002-06-15 06:40:00,20.189897455515506,19.770250242757584,19.564290330146093,19.4631023753102,19.394099850271687,19.310049346963524
2002-06-15 06:50:00,20.383711495857824,19.94632572125306,19.72739452320252,19.618743418134954,19.544862462097058,19.455065300601518
2002-06-15 07:00:00,20.59015623514108,20.136015410855407,19.904081882155992,19.78793973795132,19.709393815941212,19.61443990594205
2002-06-15 07:10:00,20.84808900744747,20.37898203067482,20.134464666984513,20.010858655757147,19.92768574108277,19.82759930466125
2002-06-15 07:20:00,21.116835841968395,20.63135632936377,20.373379717733656,20.241627523356442,20.153088301724324,20.046596225218536
2002-06-15 07:30:00,21.383276793413927,20.88182499150531,20.611066894473424,20.471714520799765,20.37828256163465,20.266072498054427
2002-06-15 07:40:00,21.656613695445003,21.137680680007747,20.853161790307922,20.70570564287442,20.607091272456046,20.48886100982179
2002-06-15 07:50:00,21.93594949907242,21.39843425909112,21.099645035832282,20.943832840493826,20.839879669657535,20.715444206077734
2002-06-15 08:00:00,22.189426282947807,21.627368865997255,21.32365350478966,21.16734837062046,21.0632660299932,20.938870598358278
2002-06-15 08:10:00,22.524015825085087,21.937716002910065,21.614427913528914,21.44642076254638,21.335002359158807,21.202296951495043
2002-06-15 08:20:00,22.8648931163533,22.25672929331813,21.915287817354454,21.735839635221055,21.616706093530865,21.474605669575794
2002-06-15 08:30:00,23.19924877062664,22.57266325897831,22.21513251403735,22.02537673945983,21.89935931663331,21.748956293981678
2002-06-15 08:40:00,23.543780672059142,22.89785587597828,22.52303589309213,22.322143000386177,22.18867532411258,22.029286136225267
2002-06-15 08:50:00,24.205165655655378,23.446729057073696,22.983054643763126,22.73035861943208,22.564153703692796,22.367380162586755
2002-06-15 09:00:00,24.87218079789227,23.98830443806719,23.443469248187284,23.142579731339424,22.944026809236277,22.70801413388699
2002-06-15 09:10:00,25.26561032417925,24.332448588336547,23.756483849647168,23.436085386949003,23.22362905453639,22.969911478094787
2002-06-15 09:20:00,25.561537169415374,24.60224771656027,24.01412850797425,23.686997236701814,23.47002074666011,23.2107915039129
2002-06-15 09:30:00,25.79306105840999,24.826554853332254,24.24060420363486,23.915972402274633,23.700706705410028,23.443487677670987
2002-06-15 09:40:00,25.962663379956723,25.010478677637423,24.440928511767538,24.127138693556674,23.919127955876206,23.670580792302417
2002-06-15 09:50:00,26.070228157692327,25.158452092076345,24.620045041816866,24.32491638150242,24.129177259837206,23.895168192164988
2002-06-15 10:00:00,26.216738297309576,25.334512075240525,24.81326042894767,24.527885335033147,24.33849512438212,24.11183682873127
2002-06-15 10:10:00,26.644908583576978,25.668977917013308,25.082629813240374,24.7608864590037,24.548587645715543,24.295725413897458
2002-06-15 10:20:00,27.418359423260426,26.231003320299124,25.508927380270222,25.110963343076833,24.850449531758045,24.5419942795387
2002-06-15 10:30:00,27.831042683744386,26.547535490189375,25.77369486724683,25.34701376725883,25.066913529022145,24.73425112687852
2002-06-15 10:40:00,27.919365251605427,26.648729569286218,25.890507640005467,25.47275691487647,25.197607493941575,24.869963931863595
2002-06-15 10:50:00,28.644266015865355,27.20485858321223,26.31456622409371,25.820211816645724,25.497961589585316,25.11756539724456
2002-06-15 11:00:00,29.346351366354725,27.728624155614057,26.721541532779213,26.159602146869588,25.79287423307119,25.359114834655088
2002-06-15 11:10:00,29.88606342257185,28.14342622683057,27.03366495258956,26.410252984427473,26.00385990808354,25.523649661538002
2002-06-15 11:20:00,30.43199000890297,28.59100310158118,27.38386431215929,26.69553279165291,26.245684672987636,25.713350432435504
2002-06-15 11:30:00,30.818766914591322,28.928457526089176,27.667387911658807,26.937509152276903,26.45762252531165,25.887278631817026
2002-06-15 11:40:00,31.37696901995264,29.413506609981027,28.057449698214327,27.257795397353277,26.73061243344381,26.103220070629845
2002-06-15 11:50:00,32.013916590597375,29.96219959235259,28.506680069523895,27.6303905583012,27.048893745323312,26.353554062369426
2002-06-15 12:00:00,32.482374550573695,30.376837774341766,28.876074747131725,27.95732481681864,27.341940147892615,26.600803479611727
2002-06-15 12:10:00,32.77978538135022,30.66120707947647,29.177314564960568,28.260458605690303,27.640709755502826,26.888312793334876
2002-06-15 12:20:00,33.02519523594748,30.881294551876977,29.407602749191142,28.498982341158808,27.883839129522073,27.135518973213664
2002-06-15 12:30:00,33.305003020345225,31.129906952772444,29.652343908992975,28.744008549792113,28.129774264410003,27.383308801740213
2002-06-15 12:40:00,33.59404048332772,31.388388312869495,29.904737324768007,28.995408837790478,28.381301606604495,27.63578583181595
2002-06-15 12:50:00,33.88640918488727,31.65213448649837,30.16129820029198,29.250178968579235,28.635835756268193,27.89102833620757
2002-06-15 13:00:00,34.17411958349942,31.910807894344885,30.413721056521922,29.501583006556302,28.88744620967816,28.14375323505209
2002-06-15 13:10:00,34.33000728062592,32.0738138275251,30.596005823907035,29.698438007198433,29.09410672377828,28.362249934594388
2002-06-15 13:20:00,34.39512340335216,32.16606303541346,30.71924312828918,29.84655813110436,29.26068384184714,28.552830139117873
2002-06-15 13:30:00,34.763931233663754,32.5189106612828,31.031180221667796,30.13265330653826,29.533262240635054,28.81314612663988
2002-06-15 13:40:00,34.87864884748831,32.66409149683261,31.212873792187565,30.335520084048824,29.74807636757538,29.040037843402274
2002-06-15 13:50:00,34.97868847752386,32.819492658116474,31.395802012574904,30.532267692496134,29.954570926367523,29.258948707794048
2002-06-15 14:00:00,35.22375636157227,33.07528753670567,31.64581806176227,30.77098631147851,30.184196316600946,29.475738553873555
2002-06-15 14:10:00,35.151630878977585,33.071933197290264,31.66327446195163,30.79064753479713,30.200977208750146,29.48483087302401
2002-06-15 14:20:00,34.89348480426054,32.93899742788028,31.599950718869536,30.75574186940935,30.178458379168546,29.470588710755635
2002-06-15 14:30:00,34.57831620101348,32.74290788532005,31.47620633858736,30.670332475875284,30.114796616842852,29.42827504036228
