cur_datetime,canTemp,sensWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[3.0],TempProf_cur[15.8],TempProf_cur[22.9],TempProf_cur[27.8],TempProf_cur[32.9],PresProf_cur[{_temp_height}],PresProf_cur[{_temp_height}],PresProf_cur[{_temp_height}],PresProf_cur[{_temp_height}],PresProf_cur[{_temp_height}],
2002-06-10 03:50:00,287.436,0.057,285.917,97605.000,287.785,286.562,286.353,286.251,286.167,97941.586,97790.088,97708.387,97650.029,97591.677,
2002-06-10 03:55:00,287.209,0.228,285.883,97607.500,287.477,286.490,286.303,286.209,286.132,97941.715,97790.131,97708.413,97650.045,97591.686,
2002-06-10 04:00:00,287.367,0.228,285.850,97610.000,287.714,286.501,286.295,286.195,286.111,97941.677,97790.144,97708.426,97650.056,97591.693,
2002-06-10 04:05:00,287.136,0.228,285.825,97615.833,287.399,286.429,286.245,286.153,286.077,97941.807,97790.187,97708.451,97650.072,97591.701,
2002-06-10 04:10:00,287.303,0.228,285.800,97621.667,287.648,286.444,286.240,286.140,286.058,97941.763,97790.197,97708.463,97650.082,97591.708,
2002-06-10 04:15:00,287.064,0.228,285.775,97627.500,287.322,286.371,286.189,286.099,286.024,97941.896,97790.240,97708.488,97650.098,97591.716,
2002-06-10 04:20:00,287.227,0.228,285.750,97633.333,287.566,286.382,286.181,286.082,286.001,97941.858,97790.255,97708.503,97650.110,97591.724,
2002-06-10 04:25:00,286.981,0.228,285.725,97639.167,287.232,286.305,286.128,286.039,285.965,97941.996,97790.300,97708.530,97650.127,97591.733,
2002-06-10 04:30:00,287.149,0.228,285.700,97645.000,287.482,286.320,286.123,286.025,285.944,97941.953,97790.311,97708.542,97650.138,97591.740,
2002-06-10 04:35:00,286.902,0.228,285.675,97650.833,287.146,286.243,286.069,285.981,285.908,97942.092,97790.357,97708.570,97650.155,97591.749,
2002-06-10 04:40:00,287.073,0.228,285.650,97656.667,287.400,286.260,286.064,285.968,285.888,97942.047,97790.368,97708.582,97650.166,97591.756,
2002-06-10 04:45:00,286.824,0.228,285.625,97662.500,287.061,286.181,286.009,285.923,285.851,97942.188,97790.414,97708.610,97650.183,97591.765,
2002-06-10 04:50:00,286.997,0.228,285.600,97668.333,287.318,286.198,286.005,285.909,285.830,97942.142,97790.425,97708.622,97650.194,97591.773,
2002-06-10 04:55:00,286.745,1.536,285.575,97674.167,286.976,286.118,285.949,285.864,285.793,97942.285,97790.472,97708.650,97650.212,97591.782,
2002-06-10 05:00:00,286.925,1.536,285.550,97680.000,287.240,286.139,285.947,285.852,285.773,97942.235,97790.482,97708.662,97650.222,97591.789,
2002-06-10 05:05:00,286.678,1.536,285.558,97685.833,286.902,286.067,285.900,285.816,285.746,97942.366,97790.520,97708.683,97650.235,97591.795,
2002-06-10 05:10:00,286.868,1.536,285.567,97691.667,287.177,286.098,285.909,285.815,285.737,97942.299,97790.518,97708.687,97650.239,97591.799,
2002-06-10 05:15:00,286.628,1.536,285.575,97697.500,286.846,286.029,285.865,285.781,285.711,97942.424,97790.554,97708.707,97650.251,97591.805,
2002-06-10 05:20:00,286.827,1.536,285.583,97703.333,287.133,286.064,285.875,285.781,285.703,97942.352,97790.552,97708.711,97650.256,97591.809,
2002-06-10 05:25:00,286.587,1.536,285.592,97709.167,286.802,285.996,285.831,285.747,285.677,97942.478,97790.588,97708.731,97650.269,97591.815,
2002-06-10 05:30:00,286.789,1.536,285.600,97715.000,287.092,286.029,285.838,285.743,285.664,97942.409,97790.589,97708.738,97650.275,97591.820,
2002-06-10 05:35:00,287.098,1.536,285.608,97720.833,287.404,286.192,285.918,285.785,285.675,97942.210,97790.540,97708.723,97650.272,97591.822,
2002-06-10 05:40:00,287.102,1.536,285.617,97726.667,287.400,286.274,285.974,285.816,285.681,97942.167,97790.510,97708.713,97650.271,97591.825,
2002-06-10 05:45:00,287.046,1.536,285.625,97732.500,287.375,286.195,285.928,285.781,285.652,97942.245,97790.550,97708.735,97650.285,97591.833,
2002-06-10 05:50:00,286.968,1.536,285.633,97738.333,287.264,286.165,285.898,285.752,285.624,97942.303,97790.578,97708.755,97650.299,97591.841,
2002-06-10 05:55:00,287.090,5.348,285.642,97744.167,287.458,286.168,285.886,285.734,285.602,97942.282,97790.595,97708.769,97650.310,97591.848,
2002-06-10 06:00:00,287.010,5.348,285.650,97750.000,287.312,286.178,285.883,285.723,285.583,97942.310,97790.605,97708.780,97650.320,97591.855,
2002-06-10 06:05:00,287.115,5.348,285.617,97757.500,287.493,286.164,285.862,285.697,285.552,97942.310,97790.630,97708.801,97650.336,97591.864,
2002-06-10 06:10:00,286.973,5.348,285.583,97765.000,287.281,286.126,285.826,285.661,285.516,97942.394,97790.666,97708.826,97650.354,97591.875,
2002-06-10 06:15:00,287.079,5.348,285.550,97772.500,287.466,286.109,285.799,285.631,285.482,97942.398,97790.695,97708.849,97650.371,97591.885,
2002-06-10 06:20:00,286.940,5.348,285.517,97780.000,287.258,286.072,285.763,285.594,285.445,97942.480,97790.731,97708.875,97650.389,97591.896,
2002-06-10 06:25:00,287.043,5.348,285.483,97787.500,287.436,286.056,285.738,285.565,285.412,97942.484,97790.760,97708.897,97650.406,97591.906,
2002-06-10 06:30:00,286.900,5.348,285.450,97795.000,287.227,286.014,285.699,285.527,285.374,97942.572,97790.798,97708.923,97650.424,97591.917,
2002-06-10 06:35:00,286.994,5.348,285.417,97802.500,287.392,285.996,285.673,285.496,285.341,97942.579,97790.827,97708.946,97650.441,97591.927,
2002-06-10 06:40:00,286.852,5.348,285.383,97810.000,287.187,285.951,285.632,285.457,285.302,97942.669,97790.866,97708.973,97650.460,97591.938,
2002-06-10 06:45:00,286.937,5.348,285.350,97817.500,287.337,285.932,285.605,285.426,285.269,97942.680,97790.896,97708.996,97650.477,97591.948,
