Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),NaturalGas:Facility [J](Hourly),Heating:NaturalGas [J](Hourly),WaterSystems:NaturalGas [J](Hourly) 
 06/09  18:00:00,129741377.96121573,0.0,1972964.035372699,44004270.89916226,0.0,83236545.25068206,527597.7731861413,0.0028126197350759746,53267537.41873587,0.0,53267537.41873587 
 06/09  19:00:00,126051203.50021496,0.0,1812932.7989494733,50003615.47756618,0.0,73747799.95074739,486855.270270128,0.0026818002125143,50838922.08262289,0.0,50838922.08262289 
 06/09  20:00:00,123806514.85845333,0.0,1286727.3785233125,50538588.87946207,0.0,71628391.33351626,352807.26449888974,0.002452866048031372,46669740.90084268,80895.6564174351,46588845.244425245 
 06/09  21:00:00,120683191.74165457,0.0,508874.9660688131,38769174.03775253,17377200.0,63729202.49650488,298740.2393333437,0.001994997719065516,41989520.61683368,3900829.0488037094,38088691.568029955 
 06/09  22:00:00,101414766.12952566,0.0,9328.70676249237,26999759.196043,23169600.0,50531492.1164157,704586.1085711173,0.0017333586739421705,50759758.0413301,17528297.14552598,33231460.89580412 
 06/09  23:00:00,80740710.45979793,0.0,0.0,18440184.765708823,23169600.0,37863633.89063428,1267291.8025063882,0.000948441538572131,50487103.82429366,31827334.94516717,18659768.879126493 
 06/09  24:00:00,67843387.87570609,0.0,0.0,14886432.881686116,23169600.0,28085665.774742994,1701689.2190153506,0.00026163904512334634,48803477.08695925,42893938.722425684,5909538.36453357 
 06/10  01:00:00,66003861.775922984,0.0,0.0,14886432.881686116,23169600.0,25966257.157511864,1981571.7365942413,0.00013073212804738565,53564319.5354619,50086331.096734494,3477988.438727416 
 06/10  02:00:00,65231704.48147141,0.0,0.0,14886432.881686116,23169600.0,24906552.848896295,2269118.750856299,0.000032683128681492076,59215100.82355186,57556597.24675701,1658503.5767948625 
 06/10  03:00:00,65008813.32078823,0.0,0.0,14886432.881686116,23169600.0,24376700.694588523,2576079.7444809196,0.00003268314566678299,67275557.25262675,65617093.08653523,1658464.166091528 
