**ACTUATORS**
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,CORE_MID_ZN_5_WALL_NORTH;
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,CORE_MID_ZN_5_WALL_SOUTH;
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,CORE_MID_ZN_5_WALL_SOUTH;
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,CORE_MID_ZN_5_WALL_WEST;
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,CORE_MID_ZN_5_WALL_WEST;
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,CORE_MID_ZN_5_FLOOR;
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,CORE_MID_ZN_5_FLOOR;
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,CORE_MID_CEILING;
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,CORE_MID_CEILING;
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,CORE_MID INTERNAL MASS;
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,CORE_MID INTERNAL MASS;
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,CORE_TOP_ZN_5_WALL_EAST;
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,CORE_TOP_ZN_5_WALL_EAST;
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,CORE_TOP_ZN_5_WALL_NORTH;
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,CORE_TOP_ZN_5_WALL_NORTH;
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,CORE_TOP_ZN_5_WALL_SOUTH;
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,CORE_TOP_ZN_5_WALL_SOUTH;
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,CORE_TOP_ZN_5_WALL_WEST;
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,CORE_TOP_ZN_5_WALL_WEST;
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,CORE_TOP_ZN_5_FLOOR;
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,CORE_TOP_ZN_5_FLOOR;
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,CORE_TOP_ZN_5_CEILING;
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,CORE_TOP_ZN_5_CEILING;
