,tpr_air2m_c13_cal_%60'_celsius,pre_air_c13_cal_%60'_hPa,'hum_relcapa_c13_cal_%60'_percent,prp_intensrr_c13_cal_%60'_millimeter/hour,'ven_ddmoy_c13_cal_%60'_degre,ven_ffmoy_c13_cal_%60'_m/s,flx_rvd_c13_cal_%60'_watt/m2,flx_rvm_c13_cal_%60'_watt/m2,flx_ird_c13_%60'_watt/m2,flx_irm_c13_%60'_watt/m2
1/5/2004 9:00,0.378833333,1001.735,85.25,0,213.2166667,0.541666667,112.0398333,18.23416667,297.2031667,311.6438333
1/5/2004 10:00,1.141333333,1001.805,83.73333333,0,88.95,0.561666667,180.7775,29.6305,291.2465,312.1198333
1/5/2004 11:00,3.3275,1001.136667,73.6,0,113.2,0.471666667,355.2166667,61.4885,247.9663333,319.1331667
1/5/2004 12:00,5.56,1000.145,66.66666667,0,239.6166667,0.838333333,405.8726667,71.36616667,229.0923333,333.6953333
1/5/2004 13:00,6.239166667,999.5133333,71.5,0,211.25,1.633333333,351.6866667,62.923,236.817,342.6651667
1/5/2004 14:00,7.1015,999.2233333,69.76666667,0,300.75,0.843333333,248.4893333,45.70216667,248.8106667,344.875
1/5/2004 15:00,6.952333333,999.0916667,71.35,0,303.4833333,1.068333333,101.4926667,18.76016667,265.2938333,340.4035
1/5/2004 16:00,5.3655,999.0466667,76.13333333,0,284.3166667,1.186666667,9.492166667,1.834,273.3275,330.4075
1/5/2004 17:00,3.823833333,999.0016667,81.16666667,0,311.3833333,1.005,-0.887833333,0.064166667,274.856,323.1835
1/5/2004 18:00,3.143,999.0583333,85.51666667,0,286.8333333,0.378333333,-0.531833333,0.1045,274.284,320.0378333
1/5/2004 19:00,2.516333333,998.9,88.65,0,219.85,0.34,-0.694333333,0.091666667,271.4345,316.9546667
1/5/2004 20:00,1.859166667,998.7783333,92.3,0,184.8166667,0.34,-0.582,0.108166667,280.147,314.9608333
1/5/2004 21:00,0.7895,998.5433333,94.35,0,68.51666667,0.568333333,-0.535833333,0.0715,288.4326667,314.2396667
1/5/2004 22:00,0.7415,998.4083333,96.16666667,0,101.3333333,0.26,-0.494666667,0.089833333,293.174,313.7988333
1/5/2004 23:00,0.5675,998.0383333,96.7,0,175.2166667,0.271666667,-0.549666667,0.0935,293.822,313.4383333
1/6/2004 0:00,-0.285166667,997.7133333,97.15,0,129.3166667,0.165,-0.496333333,0.031166667,292.4005,311.45
1/6/2004 1:00,-0.681,997.5833333,98,0,219.4666667,0.296666667,-0.618333333,0.031166667,292.6906667,310.3041667
1/6/2004 2:00,-1.948166667,997.495,98,0,263.1166667,0.645,-0.296666667,0.001833333,293.8628333,306.7795
1/6/2004 3:00,-2.7915,997.1866667,98.76666667,0,82.8,0.573333333,-0.276666667,0.014666667,292.3501667,304.6295
1/6/2004 4:00,-2.655333333,997.0016667,99,0,86.21666667,0.31,-0.173833333,0.007333333,297.8856667,305.5236667
1/6/2004 5:00,-2.411,996.9366667,99,0,152.2666667,0.271666667,-0.1375,0,300.6571667,306.7316667
1/6/2004 6:00,-2.397666667,996.8033333,99,0,92.21666667,0.305,-0.178,0,300.2825,306.8723333
1/6/2004 7:00,-2.292666667,996.8866667,98.48333333,0,160.3833333,0.266666667,5.295,1.128666667,301.1475,307.5553333
1/6/2004 8:00,-1.955333333,997.5608333,98.53333333,0,172.9166667,0.461666667,47.92216667,9.984416667,300.5855,308.2091667
1/6/2004 9:00,-1.4925,998.2333333,98.68333333,0,123.35,0.561666667,122.5328333,25.89633333,296.2251667,308.2748333
1/6/2004 10:00,-0.4825,998.52,98.15,0.1,169.0833333,0.413333333,173.9965,34.508,293.4488333,310.1526667
1/6/2004 11:00,0.450666667,998.1883333,97.36666667,0.1,78.71666667,0.341666667,242,40.87483333,282.3716667,316.9928333
1/6/2004 12:00,1.157666667,997.8733333,97.63333333,0,126.8166667,0.616666667,223.2153333,37.55066667,274.6946667,325.4275
1/6/2004 13:00,2.778666667,997.4716667,95.95,0,74.8,0.663333333,282.6421667,48.54816667,262.9561667,332.6273333
1/6/2004 14:00,2.896,997.4416667,95.95,0,66.51666667,1.133333333,161.5815,28.64283333,277.1586667,333.1918333
1/6/2004 15:00,2.784333333,997.8533333,97.08333333,0,56.18333333,0.975,66.80766667,12.449,295.196,329.7008333
1/6/2004 16:00,1.785,997.7683333,97.88333333,0,78.21666667,1.06,4.709166667,0.827166667,319.0355,326.167
1/6/2004 17:00,0.778833333,998.025,98.43333333,0,44.66666667,1.375,-0.0415,0,315.337,321.8948333
1/6/2004 18:00,0.492333333,998.2183333,99,0,53.25,1.266666667,-0.011666667,0,314.1783333,319.8748333
1/6/2004 19:00,-0.071,997.91,99,0,115.8666667,1.013333333,-0.163333333,0,307.0808333,317.3838333
1/6/2004 20:00,-0.863666667,997.7666667,99,0,123.6333333,0.725,-0.398833333,0,295.0033333,312.4658333
1/6/2004 21:00,-0.9205,997.8366667,99.13333333,0,98.71666667,0.505,-0.425166667,0.051333333,295.9698333,310.5196667
1/6/2004 22:00,-1.285833333,997.98,99,0,120.3166667,0.563333333,-0.223166667,0.033,294.6041667,310.1058333
1/6/2004 23:00,-1.522333333,997.75,99,0,170.9333333,0.565,-0.386666667,0.051,294.8133333,309.93
1/7/2004 0:00,-1.3025,997.39,99,0,99.78333333,1.025,-0.350666667,0.023333333,296.225,310.0026667
1/7/2004 1:00,-0.677333333,997.17,99,0,115.05,1.06,-0.381666667,0.025166667,298.8868333,311.1183333
1/7/2004 2:00,-0.4885,996.9883333,98.95,0,125.7,0.958333333,-0.381666667,0.0035,299.1385,311.2488333
1/7/2004 3:00,-0.980833333,996.5516667,98.51666667,0,92.03333333,1.44,-0.3825,0.025166667,297.7011667,309.7881667
1/7/2004 4:00,-1.045333333,995.9483333,98.31666667,0,93.9,0.92,-0.490166667,0.0275,295.5943333,309.4526667
1/7/2004 5:00,-1.299666667,995.4983333,98.06666667,0,99.16666667,0.933333333,-0.485333333,0.052,295.084,308.3411667
1/7/2004 6:00,-1.038166667,995.3366667,97.93333333,0,106.4333333,0.966666667,-0.383166667,0.0465,296.8883333,308.4026667
1/7/2004 7:00,-1.842333333,995.4433333,97.63333333,0,76.01666667,0.595,6.272333333,1.571666667,293.1518333,306.5585
1/7/2004 8:00,-0.758833333,996.1266667,97.93333333,0,78.75,0.213333333,83.6555,19.0565,293.3528333,309.7798333
1/7/2004 9:00,0.335,996.6316667,95.33333333,0.1,80.01666667,0.35,131.4511667,25.66,299.377,313.6495
1/7/2004 10:00,1.387833333,996.7683333,94.66666667,0.1,63.06666667,0.616666667,321.3005,54.2395,269.9111667,318.2968333
1/7/2004 11:00,3.854333333,996.2033333,90.93333333,0,60.16666667,1.01,381.6411667,67.06533333,272.4506667,330.0176667
1/7/2004 12:00,6.895,995.3366667,84.83333333,0,135.7833333,1.893333333,407.3455,67.20116667,246.1621667,347.0476667
1/7/2004 13:00,8.483333333,994.8533333,74.08333333,0,169.1,2.555,349.6306667,57.55816667,250.8523333,353.7798333
1/7/2004 14:00,8.562333333,994.6883333,72.36666667,0,174.6333333,2.473333333,220.3938333,37.3125,267.8618333,351.8803333
1/7/2004 15:00,8.156166667,994.5483333,73.86666667,0,161.55,2.083333333,126.1976667,22.17416667,274.4223333,347.5385
1/7/2004 16:00,6.992166667,994.485,76.56666667,0,125.2666667,1.291666667,11.53216667,1.945333333,281.6585,337.0943333
1/7/2004 17:00,6.099,994.42,79.63333333,0,121.9666667,1.406666667,-0.505833333,-0.033,284.032,330.6443333
1/7/2004 18:00,4.743833333,994.4216667,84.76666667,0,136.4833333,0.813333333,-0.579,-0.033,279.1028333,325.1195
1/7/2004 19:00,3.705,994.2333333,89.23333333,0,124.5833333,1.093333333,-0.344166667,0.077,284.0833333,321.1413333
1/7/2004 20:00,3.407333333,994.09,91.66666667,0,106.25,1.256666667,-0.2995,0.051333333,289.9491667,319.6906667
