,Urban_MNP_19m_5min_tdb_c,Rural_MNP_1p2m_5min_tdb_c,Rural_MNP_1p2m_5min_Sta_pa,Bypass_Direct,Bypass_Real_P0,Bypass_RealEPW
2004-06-15 02:55:00,15.284,12.826,99728.0,21.351866784542096,21.43006657173055,21.647792616734705
2004-06-15 03:00:00,15.276,12.848000000000004,99738.0,21.40838207989691,21.486507581170997,21.707657287405652
2004-06-15 03:05:00,15.268,12.902,99750.0,21.46289953587501,21.540978368316587,21.762168959500173
2004-06-15 03:10:00,15.202000000000002,12.964,99748.0,21.514896113143607,21.59293960783225,21.814169200336323
2004-06-15 03:15:00,15.12,12.925999999999998,99752.0,21.564922391390496,21.642939042784462,21.864206164108225
2004-06-15 03:20:00,15.076,12.632,99740.0,21.61338711476401,21.691383554304537,21.912687037345847
2004-06-15 03:25:00,14.972,12.3,99740.0,21.657830684879343,21.735812012467136,21.95714884283717
2004-06-15 03:30:00,14.946000000000002,11.906,99746.0,21.69560918007653,21.773578453335176,21.99494363062456
2004-06-15 03:35:00,14.913999999999998,11.924,99748.0,21.725332065814143,21.803291041515422,22.024678520624093
2004-06-15 03:40:00,14.846,12.424,99748.0,21.747926576888233,21.825876227557387,22.04728065876509
2004-06-15 03:45:00,14.782,12.224,99750.0,21.768076672548204,21.846018913424984,22.067438463428005
2004-06-15 03:50:00,14.776,11.924,99750.0,21.78807448890501,21.866011484426508,22.087446040550958
2004-06-15 03:55:00,14.772,12.25,99752.0,21.8062245293375,21.884157727151603,22.10560590357136
2004-06-15 04:00:00,14.862,11.886,99748.0,21.81796387273573,21.895892849015638,22.10888355014788
2004-06-15 04:05:00,14.782,11.67,99750.0,21.81964793748824,21.897631219558548,22.110623175603337
2004-06-15 04:10:00,14.732,11.61,99756.0,21.816315964749037,21.89437568819153,22.107365294100475
2004-06-15 04:15:00,14.774,11.754,99756.0,21.814713485920834,21.89286969230244,22.10585821104786
2004-06-15 04:20:00,14.734,11.842,99756.0,21.81214972997543,21.890420192193176,22.10340694266887
2004-06-15 04:25:00,14.71,11.832,99756.0,21.77451423019943,21.85291465162669,22.06587432722489
2004-06-15 04:30:00,14.73,11.874,99752.0,21.676776749918304,21.75532111749527,21.968210341290046
2004-06-15 04:35:00,14.762,12.0,99742.0,21.529994178312222,21.60868576123619,21.82146913042294
2004-06-15 04:40:00,14.728,12.094,99746.0,21.370553983547495,21.44939051907744,21.66205889461014
2004-06-15 04:45:00,14.786,12.232,99772.0,21.217860669693323,21.29683785427102,21.50939610354942
2004-06-15 04:50:00,14.826,12.553999999999998,99790.0,21.072637168313747,21.151748156826216,21.364201667292377
2004-06-15 04:55:00,14.93,12.986,99796.0,20.9317119415727,21.010950373337323,21.223302243281296
