,(m) canPres_1.5,(m) canPres_2.5,(m) canPres_3.5,(m) canPres_4.5,(m) canPres_5.5,(m) canPres_6.5,(m) canPres_7.5,(m) canPres_8.5,(m) canPres_9.5,(m) canPres_10.5,(m) canPres_11.5,(m) canPres_12.5,(m) canPres_13.5,(m) canPres_14.5
2002-06-12 18:50:00,98059.99332516176,98048.77733759882,98037.56118425431,98026.34481895722,98015.12822504545,98003.91141180453,97992.69440569742,97981.47723697042,97970.25993286024,97959.04251644136,97947.8250077292,97936.60742510573,97925.38978541411,97914.17206230467
2002-06-12 18:55:00,98060.25972532066,98049.03701781984,98037.81417623466,98026.59115654886,98015.36794407434,98004.1445501848,97992.92100340755,97981.69733548631,97970.47357441264,97959.24974342014,97948.02586231234,97936.80194907675,97925.5780200701,97914.35405015046
2002-06-12 19:00:00,98060.51389481754,98049.28504211493,98038.05605762835,98026.82690620756,98015.59758137293,98004.36810160255,97993.13850078943,97981.90881379375,97970.67907012961,97959.4492938342,97948.2195053574,97936.98972341498,97925.759965154,97914.53020804374
2002-06-12 19:05:00,98060.83600318883,98049.60021650368,98038.36430892929,98027.12824563513,98015.8920206561,98004.65565333987,97993.41917853207,97982.18263149471,97970.94604149072,97959.70943186557,97948.47282216948,97937.23623016733,97925.99967202845,97914.76312455155
2002-06-12 19:10:00,98061.1674869066,98049.92459829309,98038.68157513086,98027.4383848749,98016.1950237708,98004.95151313444,97993.70788942392,97982.46418914812,97971.22044258258,97959.97667397857,97948.73290375678,97937.48915054467,97926.2454313674,97915.00172390282
2002-06-12 19:15:00,98061.485406368,98050.23564434223,98038.98573946343,98027.73566104643,98016.48540694595,98005.23499979073,97993.98447713177,97982.73387652538,97971.4832292947,97960.23256072,97948.98189221323,97937.7312433514,97926.4806320991,97915.2300372858
2002-06-12 19:20:00,98061.78144492062,98050.52546296986,98039.26931963564,98028.01298737936,98016.75646685403,98005.4997830622,97994.24297552035,97982.9860834393,97971.72913958342,97960.47217052769,97949.21519887545,97937.95824531958,97926.70132889478,97915.44442950838
2002-06-12 19:25:00,98062.05314211745,98050.79148608612,98039.52965559349,98028.26762493931,98017.00539641679,98005.74299645564,97994.48046581441,97983.21784481786,97971.95516725359,97960.69246065163,97949.4297485203,97938.16705242387,97926.90439225818,97915.64174878917
2002-06-12 19:30:00,98062.3003033438,98051.03351236449,98039.76653120568,98028.49933622745,98017.23193161297,98005.96434547893,97994.69662005399,97983.42879692328,97972.16091098048,97960.89299076804,97949.62506075809,97938.35714345815,97927.08925970645,97915.82139117493
2002-06-12 19:35:00,98062.51536790258,98051.24398083158,98039.97239673621,98028.7005937591,98017.42857767937,98006.15637800808,97994.88403814008,97983.61160058076,97972.33910097675,97961.0665685494,97949.794028438,97938.52150383634,97927.24901629881,97915.97654844895
2002-06-12 19:40:00,98062.68933012556,98051.41412749457,98040.13872196054,98028.86309454618,98017.58725344944,98006.31123013019,97995.03506949589,97983.75881521357,97972.48250387584,97961.20616554421,97949.92982615523,97938.65350968465,97927.37723846831,97916.10099632891
2002-06-12 19:45:00,98062.80487393653,98051.52685734704,98040.24864248757,98028.97021409517,98017.69158346759,98006.41278455532,97995.13386412441,97983.8548670647,97972.57583076334,97961.2967858724,97950.01775885587,97938.7387742149,97927.45985481693,97916.1809859392
