,(m) canTemp_1.5,(m) canTemp_2.5,(m) canTemp_3.5,(m) canTemp_4.5,(m) canTemp_5.5,(m) canTemp_6.5,(m) canTemp_7.5,(m) canTemp_8.5,(m) canTemp_9.5,(m) canTemp_10.5,(m) canTemp_11.5,(m) canTemp_12.5,(m) canTemp_13.5,(m) canTemp_14.5
2002-06-28 02:05:00,295.1677291638421,295.1149286336093,295.06016990227664,295.00479580197725,294.95022568381603,294.89878171110314,294.85088888993613,294.80541803242977,294.7615243503388,294.718616932906,294.6768557716291,294.6363767355614,294.5971988490504,294.55587742860513
2002-06-28 02:10:00,295.1952742996263,295.14284926865264,295.08855691901636,295.0337681007607,294.979948877567,294.92948092234195,294.88277987249216,294.83866991807434,294.7962711293231,294.754969402069,294.71490284550765,294.67617916568224,294.6387908086752,294.59943485475895
2002-06-28 02:15:00,295.2144000143126,295.1627151915106,295.1090925822557,295.05492010970903,295.00169509392316,294.95183000380393,294.90578744866554,294.8624386170298,294.8209237445472,294.780631964429,294.74167115467935,294.7041122929956,294.66790924288495,294.6298257607333
2002-06-28 02:20:00,295.2242650342762,295.17267448746304,295.11905096273847,295.06479641050686,295.01143659711386,294.96141699239183,294.9152197003381,294.871730974536,294.83010131028874,294.7897269141216,294.75070737124014,294.7131009531134,294.67684669198366,294.638690500057
2002-06-28 02:25:00,295.1895850012709,295.137355277258,295.08207523493434,295.0251112920243,294.9679964858872,294.91322644685033,294.8614402275877,294.8117143635963,294.7633322516941,294.7157781476603,294.6691935063214,294.62367548761904,294.5791807808724,294.5316989049071
2002-06-28 02:30:00,295.0474848852349,294.99119288119357,294.9290998503169,294.8624577076507,294.79282212457315,294.7229096056566,294.6538474871796,294.58524334032893,294.51677272315806,294.448197937214,294.3798620024773,294.3120472162573,294.2448318860739,294.17225695076337
2002-06-28 02:35:00,294.73372728377814,294.6696139076845,294.595243751278,294.5118512771479,294.42131687014046,294.3269633072607,294.2310966438795,294.13449101005443,294.03753602527075,293.9404335835375,293.8437639922131,293.74804941751194,293.65356050829445,293.55225848207107
2002-06-28 02:40:00,294.32467078151006,294.250426171793,294.1635683086299,294.06572486567165,293.959383322955,293.84833006022615,293.7356904663298,293.6230186992888,293.51107717080345,293.40026288639905,293.291165364826,293.1843460122164,293.0801192154261,292.96982025384114
2002-06-28 02:45:00,293.1613506449004,293.1046021819314,293.0348715176484,292.9547414930191,292.86738140634475,292.77651837202063,292.68545903195945,292.5962070995079,292.509779198271,292.426684522769,292.34732338973396,292.27200055296265,292.2007741407791,292.1275655817217
2002-06-28 02:50:00,292.06954659716473,292.034918933675,291.9961922001159,291.9547032619431,291.91173718115067,291.86836065639636,291.82547830984436,291.7836093681935,291.74290068196285,291.70333251991065,291.6648130923605,291.6272712263702,291.5906345671258,291.55169588093247
2002-06-28 02:55:00,291.8262239083956,291.787167309564,291.7468876170682,291.70596168568767,291.66490868091194,291.6240945421814,291.58401404593997,291.5450437852081,291.50728391042765,291.4707012211616,291.43516698462315,291.40057678308744,291.3668323089674,291.33094767960074
2002-06-28 03:00:00,291.79343060625985,291.74674998305284,291.69920798153726,291.6514243662652,291.6039689686292,291.5572764689838,291.5118374557223,291.4679644229329,291.4256867256202,291.3849017843202,291.3454310300732,291.30712560712135,291.26984894723415,291.23029211266635
2002-06-28 03:05:00,291.78600734238245,291.7358360263601,291.68466923786957,291.63318871333155,291.5820521087686,291.5317954826765,291.48297350474553,291.4359064040716,291.39060015914856,291.346917628737,291.3046512558321,291.26362881588614,291.223693273681,291.18128511090765
2002-06-28 03:10:00,291.76453827301316,291.71374586787164,291.6617907355926,291.609356662201,291.5571277463025,291.5056911032921,291.4556428365417,291.4073218054643,291.3607395529185,291.3157567721953,291.2721639637814,291.229785533993,291.18845753225133,291.14447738104064
2002-06-28 03:15:00,291.7274004417969,291.6768993854823,291.6251555858179,291.57285050490054,291.5206786563778,291.46925469327135,291.4191919049825,291.3708307379337,291.3241796307863,291.2790934940688,291.23535957517305,291.1927976966163,291.15123582730394,291.10692725579577
2002-06-28 03:20:00,291.67936683188833,291.6295113509115,291.5784002179527,291.52671976408914,291.475169916094,291.42437293054,291.3749412176564,291.32720768088575,291.28117378348,291.2366883856918,291.19353489555135,291.15152838058924,291.11048941647704,291.0666985343493
2002-06-28 03:25:00,291.62697221310526,291.57792479099186,291.5276613823334,291.4768745558728,291.4262665515763,291.3764605121513,291.32805529955203,291.2813633409999,291.236370644791,291.1929150772264,291.15077406215755,291.10975656411694,291.0696753688513,291.02687759612166
2002-06-28 03:30:00,291.5765663766451,291.52835090148227,291.4789878289214,291.42917014526205,291.37959474464117,291.3308755044692,291.28359184797057,291.2380350589507,291.1941767109973,291.1518452733368,291.1108127826944,291.07088256045677,291.0318602452094,290.9901700717242
2002-06-28 03:35:00,291.52973044156096,291.4823549974966,291.4339055036313,291.3850757494426,291.3365573193268,291.2889562678361,291.2428296835263,291.19844327460237,291.1557519198023,291.1145736767014,291.07467580909355,291.035856643077,290.9979155025493,290.95735691037817
2002-06-28 03:40:00,291.486880592731,291.44035788967307,291.3928306496687,291.34499016155524,291.29752006601865,291.25101531623955,291.2060124355699,291.16275633688167,291.12118891188794,291.08112058568713,291.0423150342649,291.0045667138079,290.9676698965001,290.92820847909604
2002-06-28 03:45:00,291.4467015544528,291.40106515485286,291.3544889043535,291.30766322372045,291.26126501321335,291.2158803676352,291.172023852981,291.1299169639483,291.0894877490302,291.05053908344235,291.01283240348954,290.9761596316422,290.94031149098106,290.90195386650845
2002-06-28 03:50:00,291.40893786952483,291.36421860358155,291.3186203856189,291.27283030441373,291.22751641118947,291.1832533561622,291.1405349043537,291.0995626279214,291.060253582208,291.02240533553794,290.98577821370867,290.950162730036,290.9153473782962,290.8780810400469
2002-06-28 03:55:00,291.37292883730896,291.32914817480275,291.2845477131391,291.2398122061629,291.1956012648018,291.1524793100244,291.11091756030856,291.071095211944,291.03291759496614,290.9961770954842,290.96063410831346,290.92607888198575,290.892298983356,290.8561285464626
2002-06-28 04:00:00,291.3388871529389,291.29605952126707,291.2524682038402,291.20879286529146,291.1656825818496,291.1236891807016,291.0832629308871,291.0445643428825,291.00748968823166,290.9718280511913,290.93734058052945,290.9038179588151,290.8710476988515,290.8359486499194
2002-06-28 04:05:00,291.264421529684,291.22234395914643,291.179374304428,291.13621310609267,291.09352768040503,291.05188813261344,291.01174938314756,290.97327048614255,290.93634970138777,290.9007794182457,290.8663264107107,290.8327851812982,290.7999447338305,290.7647103994945
2002-06-28 04:10:00,291.15837183368984,291.11688064746426,291.0744122727244,291.03168045075154,290.98936463483324,290.94804107570326,290.90817633882034,290.86994243054033,290.8332461658155,290.79788638765626,290.7636335472192,290.7302860553858,290.6976370958419,290.66261508245503
2002-06-28 04:15:00,291.04182409047485,291.00079678434156,290.9587968467645,290.9165390427098,290.8746991560427,290.83384186749487,290.79443065494587,290.756641808758,290.7203865184335,290.68546845262694,290.6516608905481,290.61876587426303,290.5865817178855,290.55208894188735
2002-06-28 04:20:00,290.926737770451,290.8860603148631,290.8444433815065,290.8025935919903,290.761176442733,290.72074230163054,290.68174871763034,290.6443722112832,290.608524077725,290.5740082479707,290.54059647244975,290.50808959392936,290.4762851322936,290.4421956980362
2002-06-28 04:25:00,290.8265908323723,290.78556431374756,290.7436730026495,290.7016064454772,290.6600139893503,290.61942400559724,290.580294414787,290.54281183612954,290.50689012449686,290.4723321243523,290.43890236130045,290.4063953838076,290.37460282299116,290.34053227853866
2002-06-28 04:30:00,290.726895881847,290.68588285777327,290.64400982647203,290.6019639009062,290.5603931533002,290.51982263774426,290.4807139386373,290.4432588228897,290.40737220728215,290.3728561095869,290.33947185080666,290.30701098231714,290.27526192145785,290.24123093385646
2002-06-28 04:35:00,290.62987994880996,290.5886766702203,290.54664322304717,290.5044604253733,290.4627714330269,290.42209310881043,290.3828904202188,290.34536186397196,290.30942343736933,290.2748757712467,290.24147541901624,290.2090098434341,290.1772634543364,290.143238022068
2002-06-28 04:40:00,290.5300478962002,290.48891343636177,290.4469559496024,290.4048528952129,290.3632451150464,290.3226442361793,290.28351910083165,290.24607482645854,290.21022960058514,290.17578426242386,290.1424927541816,290.1101403139963,290.07850911255065,290.04460796113887
2002-06-28 04:45:00,290.4306431579194,290.3894757415138,290.34751436221205,290.3054313829121,290.26386247363604,290.2233109769572,290.1842456768346,290.1468749515369,290.1111172546068,290.07677255062043,290.04359175562064,290.01135761016855,289.97984996895923,289.9460860340848
2002-06-28 04:50:00,290.3292780069044,290.28830521716134,290.2465462003065,290.2046690415761,290.1633053917374,290.122952232141,290.08407920275124,290.04689890367496,290.011331795226,289.9771787919241,289.9441896957362,289.91214626541307,289.88082734317925,289.8472649433009
2002-06-28 04:55:00,290.2295069807795,290.18854669812094,290.1468308178007,290.1050248998305,290.063756468417,290.0235165676125,289.9847701948234,289.947726699355,289.91230387680827,289.8783006783226,289.8454650403575,289.8135771424851,289.7824143376527,289.7490204408828
2002-06-28 05:00:00,290.1290985317426,290.0882996018692,290.0467559670082,290.00512988240297,289.9640452489628,289.9239876190638,289.8854211129404,289.8485567064347,289.81331281114194,289.77948859434804,289.7468310079185,289.71511934955714,289.68413006410725,289.6509205569736
2002-06-28 05:05:00,290.0453210449973,290.0046089664204,289.9632273650383,289.9218272857557,289.88101987295283,289.84127600092427,289.80304964511805,289.7665459292483,289.7316789984698,289.6982451615047,289.66598854265715,289.63468627993,289.60411328480023,289.5713629933731
2002-06-28 05:10:00,289.9711145072627,289.9305669600326,289.88939604733656,289.848241635138,289.80770383293793,289.76824094223105,289.73030200188356,289.6940920038805,289.6595244489344,289.6263949284202,289.59444538567334,289.563451046435,289.5331850210228,289.5007649839281
2002-06-28 05:15:00,289.9055943523367,289.86484458173015,289.82351026004994,289.78222313743413,289.74157474841843,289.70201202115317,289.6639824604185,289.62769496468786,289.5930646763741,289.559887504085,289.5279030366722,289.49688434761237,289.4666025268568,289.43417231001195
2002-06-28 05:20:00,289.840153916386,289.7993575839723,289.7579787170375,289.7166438094052,289.6759421416621,289.63631709061946,289.5982229600142,289.56187752248053,289.5271989249054,289.49398325577005,289.4619670965231,289.43092107288055,289.4006140918128,289.3681562645016
2002-06-28 05:25:00,289.7769480377653,289.7359107896986,289.6943073815824,289.65276010192656,289.61185474590525,289.57202791886766,289.5337383540922,289.497212226488,289.462371050771,289.42901171494253,289.3968681259316,289.3657086933275,289.3353003586347,289.30274348320194
2002-06-28 05:30:00,289.7124154150306,289.67132848519196,289.62967270187215,289.5880656896172,289.5470914731128,289.5071830667934,289.4688069531749,289.4321996345229,289.3972867253578,289.36386616815764,289.3316693628526,289.3004627504472,289.2700115708023,289.23741090702066
2002-06-28 05:35:00,289.65020612103643,289.6088956410217,289.56702897403244,289.5252180352125,289.4840426644897,289.4439283841569,289.40534783089595,289.36854835507916,289.3334602427876,289.2998828734393,289.26754482009744,289.23621016549174,289.2056420395767,289.17292408541215
2002-06-28 05:40:00,289.5875362449683,289.54613281132254,289.50416891759676,289.4622501929035,289.42095376515414,289.38070012122137,289.3419717697795,289.30502979049413,289.2698103923648,289.23611487919675,289.20366899288484,289.1722345291562,289.1415725892577,289.1087568403334
2002-06-28 05:45:00,289.52661038838625,289.4849726565173,289.44278244138,289.40063996720176,289.3591189845618,289.3186334116376,289.27967332329683,289.24251173233887,289.2070898872649,289.1732105476895,289.140596413345,289.1090067425892,289.0782003419323,289.0452367146101
2002-06-28 05:50:00,289.4649869516237,289.42322656673434,289.38090905716535,289.33862987784875,289.29696102714934,289.25631237040045,289.2171831338236,289.17985872805633,289.1442856391153,289.11026821477174,289.0775264645779,289.0458174555554,289.0148980199158,288.9818160691294
2002-06-28 05:55:00,289.4046640033581,289.36266976560455,289.320124414627,289.2776189079218,289.2357226895657,289.1948400982274,289.15547779626934,289.1179323614573,289.08215483885994,289.0479507478822,289.0150371137934,288.9831685249308,288.9520995692233,288.91886352130126
2002-06-28 06:00:00,289.34378156148813,289.30164352560166,289.25895032394504,289.2162887149987,289.17422666887734,289.13316469591626,289.0936182381327,289.0558957370842,289.019953204752,288.98559761192456,288.9525433238646,288.9205427492404,288.88934850115504,288.8559812340875
2002-06-28 06:05:00,289.31475429981595,289.27248447327054,289.2297563050406,289.1871376601207,289.1451784090055,289.1042578512729,289.0648856672469,289.0273725329454,288.9916736146408,288.95759400347845,288.92484312288667,288.8931696845567,288.8623238360853,288.8293576285333
2002-06-28 06:10:00,289.29443941655217,289.252457235348,289.21004712822474,289.1677694122919,289.12616607955533,289.0856097680691,289.04660271087914,289.0094502538416,288.9741056353013,288.9403736967256,288.9079645849114,288.8766274969832,288.8461129631719,288.81350143073666
2002-06-28 06:15:00,289.2952042175286,289.25230964386657,289.2090403744778,289.1659463923708,289.12355791426614,289.08223052025335,289.04246797532994,289.0045879425695,288.9685511064211,288.93416604269083,288.90114061406297,288.8692217776491,288.8381583129349,288.80498519303677
2002-06-28 06:20:00,289.2933636833401,289.25001141301334,289.2062483394088,289.1626276338399,289.1196889565786,289.0777993895734,289.0374792254658,288.99905736397994,288.9624962832678,288.9276019387971,288.8940770869724,288.86166453020576,288.8301093768908,288.796399376085
2002-06-28 06:25:00,289.29877021592876,289.25431158436055,289.2094494645107,289.164736544862,289.1207136371042,289.07774299868515,289.03636038734027,288.99691593357124,288.959381570206,288.9235660120187,288.88916721104346,288.85592376225134,288.82357692084923,288.78904520078873
2002-06-28 06:30:00,289.29770030944456,289.2526913890878,289.20722979154067,289.16187333924523,289.1171745459494,289.07350787646106,289.0314300127737,288.99130785091177,288.9531185835282,288.91667068314143,288.8816579658091,288.84781592175835,288.8148832343308,288.77972559314173
2002-06-28 06:35:00,289.3011043283427,289.2550445815489,289.2085310190213,289.16212203914955,289.11637275680323,289.0716554246988,289.02854237568283,288.9874205732075,288.9482761674957,288.9109202870766,288.8750425961782,288.8403750607806,288.80665330106115,288.77067486864314
2002-06-28 06:40:00,289.3004824098961,289.2537367148042,289.2064920921527,289.15931007525626,289.1127553510102,289.06720919056437,289.02326606441613,288.9813334906455,288.94140550272124,288.9032946313773,288.86668653640226,288.8313101393145,288.7968986331126,288.76018888977563
2002-06-28 06:45:00,289.3034151601286,289.2555867541243,289.20724908539694,289.1589634094884,289.1112977889338,289.06463277679404,289.0195818624699,288.97657575229175,288.93561885796845,288.89652686735553,288.85898106857746,288.82270677078753,288.78743416665145,288.74982604114183
2002-06-28 06:50:00,289.30327129461597,289.2546207605665,289.2054156924944,289.1562203094364,289.1076119739325,289.0599794223649,289.0139596387743,288.9700064556033,288.9281339318028,288.88816023289803,288.84976283308043,288.8126641471729,288.7765921655906,288.73814061828733
2002-06-28 06:55:00,289.3052383142574,289.25546993178807,289.2051288008309,289.1547805120202,289.10500785009907,289.056201942563,289.00901958345224,288.9639371602572,288.92097883910134,288.87996586127906,288.84057185346563,288.8025161716175,288.76552447395864,288.7261124168667
2002-06-28 07:00:00,289.30487213357674,289.254177024234,289.20286308713617,289.15149809809117,289.1006734800385,289.05078754703885,289.0025219105896,288.9563787613863,288.91239388960025,288.8703923481699,288.8300444152892,288.79106699521293,288.75318411837327,288.7128360776047
2002-06-28 07:05:00,289.3242666321062,289.2724956584169,289.220147237328,289.16777852137545,289.1159749190813,289.065125583243,289.0159258842367,288.9688986816164,288.924088574123,288.8813229019627,288.840266756263,288.80063326194363,288.7621442774276,288.721192411699
2002-06-28 07:10:00,289.5650315447224,289.50368709260135,289.44209260619516,289.38068318207326,289.31996826227646,289.26021109358584,289.2022445650932,289.146798885459,289.09398161325385,289.04360972888395,288.9952500050944,288.94853126294913,288.9030962049559,288.8546573126924
2002-06-28 07:15:00,289.3632307900246,289.3183939067365,289.2721032635237,289.22513134933604,289.178382130384,289.13266125569044,289.0888437370071,289.04735279112236,289.0080665999787,288.9706523499227,288.93468398488085,288.8997950650822,288.8656048038398,288.82864090896555
2002-06-28 07:20:00,289.59774205680264,289.5364593784348,289.47508780038567,289.4142188058494,289.35442234825774,289.2959005619242,289.23943009707625,289.1857159578833,289.13486099972056,289.0867013090435,289.0408235307094,288.9968747562786,288.95450182636023,288.90970460912985
2002-06-28 07:25:00,289.4624074176846,289.4137622870102,289.3635643497047,289.31267931649376,289.26211735281885,289.2127600527886,289.16557578548645,289.1210381456294,289.0790204498309,289.03917362753504,289.0010506373657,288.9642778372631,288.9284739348484,288.8900740963867
2002-06-28 07:30:00,289.696832363792,289.62947336563803,289.56221237550875,289.49589283641296,289.4312570284094,289.36857897210245,289.30868289239146,289.2522469259364,289.19928336078345,289.14952688958317,289.10246911943796,289.0576773007446,289.0147185552838,288.9694746317513
2002-06-28 07:35:00,289.56261371343606,289.5108971185407,289.45741917441933,289.4031706431402,289.3493097454573,289.29682491732285,289.246795577467,289.1997467584123,289.15553924685497,289.113798554065,289.0740447333709,289.0358815757344,288.9989044110696,288.95944009413915
2002-06-28 07:40:00,289.7854366536861,289.7146844258411,289.64407317237055,289.57460517141067,289.5071445646388,289.4420258067824,289.3801176022588,289.32208494670186,289.26788146626876,289.21717928407327,289.16941391319733,289.1241096328209,289.08079225478104,289.035279475075
2002-06-28 07:45:00,289.66412592781535,289.6092172746758,289.55246084237893,289.4949610539034,289.437987325757,289.3825854573278,289.3299073646542,289.28051559039835,289.23425729744906,289.19073303441417,289.1494284635034,289.1099220682922,289.0717843755627,289.0312334656892
2002-06-28 07:50:00,289.8735032894127,289.79987997614523,289.7263872559329,289.6541715764797,289.58421428336874,289.51691382647925,289.45318876372846,289.3936978106568,289.3383441688716,289.2867456048064,289.23828881437606,289.1924614714464,289.14875434892684,289.10292376874264
2002-06-28 07:55:00,289.7642159399202,289.706261447608,289.646411237232,289.58587693222984,289.5260261992449,289.4679455414813,289.41284873290357,289.36133274950976,289.31323112458256,289.26812003697387,289.2254506521718,289.18477581655213,289.14564122556374,289.1041694177455
2002-06-28 08:00:00,289.960458104936,289.8844366391077,289.8085086924367,289.7339471882873,289.6618421220952,289.59265458040727,289.52735410200506,289.46659817671656,289.4102475176672,289.35787369818075,289.30882159755294,289.26254803726084,289.2185142780341,289.17242590332114
